model,accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix
PyTorch_CNN,0.9959973783998877,0.27014218009478674,0.7702702702702703,0.4,0.9075664015168798,0.7174363310182754,"[[42494   154]
 [   17    57]]"
PyTorch_LSTM,0.9887879780909133,0.11428571428571428,0.8108108108108109,0.2003338898163606,0.9045280156352189,0.6913081878502783,"[[42183   465]
 [   14    60]]"
